姓名 | 出场 | 时间 | 投篮命中 | 投篮出手 | 投篮命中率 | 三分命中 | 三分出手 | 三分命中率 | 罚球命中 | 罚球出手 | 罚球命中率 | 篮板 | 助攻 | 抢断 | 盖帽 | 失误 | 犯规 | 得分
JaValeMcGee | 65 | 9.3 | 2.1 | 3.4 | 0.621 | 0 | 0.1 | 0.0 | 0.6 | 0.8 | 0.731 | 2.6 | 0.5 | 0.32 | 0.88 | 0.42 | 1.40 | 4.8
RussellWestbrook | 81 | 36.2 | 9.4 | 21.0 | 0.44799999999999995 | 1.2 | 4.1 | 0.295 | 5.2 | 7.0 | 0.736 | 10.0 | 10.2 | 1.83 | 0.25 | 4.73 | 2.49 | 25.2
CarmeloAnthony | 78 | 32.0 | 6.1 | 15.0 | 0.40399999999999997 | 2.2 | 6.1 | 0.35700000000000004 | 1.9 | 2.5 | 0.763 | 5.8 | 1.3 | 0.60 | 0.63 | 1.28 | 2.53 | 16.2
StevenAdams | 76 | 32.6 | 5.9 | 9.4 | 0.629 | 0 | 0.0 | 0.0 | 2.1 | 3.8 | 0.5589999999999999 | 9.0 | 1.2 | 1.21 | 1.04 | 1.70 | 2.83 | 13.9
PaulGeorge | 80 | 36.4 | 7.3 | 16.9 | 0.43 | 3.1 | 7.7 | 0.401 | 4.2 | 5.1 | 0.8220000000000001 | 5.7 | 3.3 | 2.02 | 0.49 | 2.66 | 2.92 | 21.9
AndreRoberson | 39 | 26.4 | 2.2 | 4.2 | 0.537 | 0.2 | 0.9 | 0.222 | 0.3 | 1.0 | 0.316 | 4.7 | 1.2 | 1.18 | 0.90 | 0.77 | 2.28 | 5.0
AlexAbrines | 75 | 15.1 | 1.5 | 3.9 | 0.395 | 1.1 | 2.9 | 0.38 | 0.5 | 0.6 | 0.848 | 1.5 | 0.4 | 0.51 | 0.11 | 0.33 | 1.65 | 4.7
PatrickPatterson | 82 | 15.4 | 1.3 | 3.2 | 0.4 | 0.8 | 2.1 | 0.386 | 0.5 | 0.6 | 0.87 | 2.4 | 0.7 | 0.60 | 0.28 | 0.41 | 1.06 | 3.9
KyleSingler | 12 | 5.0 | 0.6 | 1.8 | 0.33299999999999996 | 0.2 | 0.4 | 0.4 | 0.6 | 1.1 | 0.5379999999999999 | 0.8 | 0.2 | 0.08 | 0 | 0.25 | 0.33 | 1.9
TerranceFerguson | 61 | 12.4 | 1.1 | 2.8 | 0.414 | 0.7 | 2.0 | 0.33299999999999996 | 0.1 | 0.2 | 0.9 | 0.8 | 0.3 | 0.41 | 0.16 | 0.18 | 1.36 | 3.1
DakariJohnson | 31 | 5.1 | 0.7 | 1.3 | 0.564 | 0 | 0 | 0.0 | 0.4 | 0.6 | 0.55 | 1.1 | 0.3 | 0.19 | 0.26 | 0.13 | 0.87 | 1.8
PJPJDozier | 2 | 1.5 | 0.5 | 1 | 0.5 | 0 | 0 | 0.0 | 0 | 0 | 0.0 | 0.5 | 0 | 0 | 0 | 0.50 | 0.50 | 1
RaymondFelton | 82 | 16.5 | 2.7 | 6.7 | 0.406 | 1.0 | 2.8 | 0.35200000000000004 | 0.4 | 0.5 | 0.818 | 1.9 | 2.5 | 0.61 | 0.17 | 0.90 | 1.11 | 6.9
DeonteBurton | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
JeramiGrant | 81 | 20.2 | 3.0 | 5.6 | 0.535 | 0.4 | 1.4 | 0.29100000000000004 | 2.0 | 3.0 | 0.675 | 3.9 | 0.7 | 0.38 | 0.96 | 0.68 | 1.91 | 8.4
KevinHervey | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
NerlensNoel | 29 | 16.0 | 1.9 | 3.6 | 0.524 | 0 | 0.0 | 0.0 | 0.7 | 1.0 | 0.75 | 5.8 | 0.7 | 1.07 | 0.76 | 0.90 | 2.03 | 4.5
DanielHamilton | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
DevonHall | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
DamianLillard | 74 | 36.2 | 8.5 | 19.3 | 0.441 | 3.1 | 8.6 | 0.36200000000000004 | 6.7 | 7.3 | 0.9159999999999999 | 4.4 | 6.5 | 1.05 | 0.36 | 2.78 | 1.58 | 26.8
CJCJMcCollum | 81 | 36.0 | 8.2 | 18.6 | 0.44299999999999995 | 2.3 | 5.9 | 0.397 | 2.6 | 3.1 | 0.836 | 4.0 | 3.4 | 0.95 | 0.43 | 1.88 | 2.07 | 21.4
EvanTurner | 79 | 25.6 | 3.3 | 7.3 | 0.447 | 0.5 | 1.7 | 0.318 | 1.2 | 1.4 | 0.85 | 3.1 | 2.2 | 0.59 | 0.35 | 1.25 | 2.06 | 8.2
MeyersLeonard | 33 | 7.6 | 1.4 | 2.4 | 0.59 | 0.3 | 0.8 | 0.423 | 0.3 | 0.3 | 0.818 | 2.1 | 0.5 | 0.21 | 0 | 0.30 | 1.09 | 3.4
MauriceHarkless | 59 | 21.3 | 2.5 | 5.0 | 0.495 | 0.8 | 2.0 | 0.415 | 0.7 | 1 | 0.7120000000000001 | 2.7 | 0.9 | 0.81 | 0.73 | 0.68 | 1.75 | 6.5
AlFarouqAminu | 69 | 29.9 | 3.3 | 8.4 | 0.395 | 1.8 | 4.9 | 0.369 | 0.9 | 1.2 | 0.738 | 7.6 | 1.2 | 1.16 | 0.57 | 1.14 | 1.97 | 9.3
NikStauskas | 41 | 12.7 | 1.5 | 3.8 | 0.39 | 1.0 | 2.4 | 0.4 | 0.5 | 0.7 | 0.7240000000000001 | 1.6 | 1.0 | 0.22 | 0.10 | 0.63 | 0.59 | 4.4
ZachCollins | 66 | 15.8 | 1.7 | 4.4 | 0.397 | 0.5 | 1.7 | 0.31 | 0.4 | 0.6 | 0.643 | 3.3 | 0.8 | 0.26 | 0.47 | 0.89 | 2.02 | 4.4
JusufNurkic | 79 | 26.4 | 6.1 | 12.0 | 0.505 | 0 | 0.1 | 0.0 | 2.2 | 3.5 | 0.63 | 9.0 | 1.8 | 0.81 | 1.41 | 2.32 | 3.13 | 14.3
ShabazzNapier | 74 | 20.6 | 3.0 | 7.2 | 0.42 | 1.1 | 2.9 | 0.376 | 1.6 | 1.9 | 0.841 | 2.3 | 2.0 | 1.09 | 0.19 | 1.22 | 1.14 | 8.7
CalebSwanigan | 27 | 6.8 | 0.9 | 2.2 | 0.4 | 0.0 | 0.3 | 0.125 | 0.4 | 0.7 | 0.667 | 2.0 | 0.5 | 0.19 | 0.11 | 0.67 | 1.37 | 2.3
JakeLayman | 34 | 4.7 | 0.4 | 1.4 | 0.298 | 0.1 | 0.6 | 0.2 | 0.1 | 0.1 | 0.667 | 0.5 | 0.3 | 0.18 | 0.12 | 0.15 | 0.38 | 1
CJCJWilcox | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
WadeBaldwinIV | 7 | 11.6 | 2.0 | 3.0 | 0.667 | 0.6 | 0.7 | 0.8 | 0.9 | 1.4 | 0.6 | 1.1 | 0.7 | 0.29 | 0.14 | 0.57 | 1.71 | 5.4
GeorgiosPapagiannis | 17 | 6.9 | 1.1 | 2.5 | 0.429 | 0 | 0 | 0.0 | 0 | 0 | 0.0 | 2.2 | 0.5 | 0.24 | 0.35 | 0.47 | 0.71 | 2.1
AnferneeSimons | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
SethCurry | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
GaryTrent | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
RobinLopez | 64 | 26.4 | 5.3 | 10.1 | 0.529 | 0.1 | 0.2 | 0.267 | 1.1 | 1.4 | 0.7559999999999999 | 4.5 | 1.9 | 0.22 | 0.83 | 1.67 | 1.70 | 11.8
OmerAsik | 17 | 10.4 | 0.5 | 1.3 | 0.409 | 0 | 0 | 0.0 | 0.2 | 0.6 | 0.364 | 2.8 | 0.2 | 0.12 | 0.24 | 0.53 | 1.12 | 1.3
CristianoFelicio | 55 | 17.7 | 2.3 | 3.9 | 0.591 | 0 | 0.0 | 0.0 | 1.0 | 1.5 | 0.667 | 4.2 | 1 | 0.29 | 0.20 | 0.98 | 1.91 | 5.6
JustinHoliday | 72 | 31.4 | 4.0 | 10.9 | 0.371 | 2.2 | 6.2 | 0.359 | 1.9 | 2.3 | 0.823 | 4.0 | 2.1 | 1.11 | 0.43 | 1.29 | 1.86 | 12.2
KrisDunn | 53 | 29.1 | 5.5 | 12.7 | 0.431 | 0.8 | 2.6 | 0.324 | 1.6 | 2.2 | 0.737 | 4.2 | 5.9 | 2.02 | 0.55 | 2.87 | 3.28 | 13.4
LauriMarkkanen | 69 | 29.5 | 5.5 | 12.6 | 0.43700000000000006 | 2.1 | 5.9 | 0.361 | 2.0 | 2.4 | 0.843 | 7.4 | 1.2 | 0.58 | 0.59 | 1.20 | 1.49 | 15.2
NoahVonleh | 54 | 16.2 | 1.9 | 4.3 | 0.444 | 0.4 | 1.2 | 0.303 | 0.7 | 1.1 | 0.621 | 5.8 | 0.6 | 0.35 | 0.31 | 0.57 | 1.26 | 4.9
ZachLaVine | 24 | 27.2 | 5.7 | 14.8 | 0.38299999999999995 | 1.8 | 5.1 | 0.341 | 3.6 | 4.5 | 0.813 | 4.0 | 3.0 | 1 | 0.17 | 1.79 | 2.29 | 16.7
CameronPayne | 25 | 23.4 | 3.5 | 8.6 | 0.405 | 1.4 | 3.6 | 0.385 | 0.5 | 0.6 | 0.75 | 2.8 | 4.5 | 1.04 | 0.36 | 1.44 | 1.76 | 8.8
DenzelValentine | 77 | 27.1 | 3.9 | 9.4 | 0.418 | 1.9 | 4.8 | 0.38799999999999996 | 0.5 | 0.7 | 0.745 | 5.1 | 3.2 | 0.84 | 0.16 | 1.30 | 2.40 | 10.2
SeanKilpatrick | 52 | 12.2 | 2.1 | 5.6 | 0.375 | 0.9 | 2.8 | 0.322 | 1.2 | 1.4 | 0.889 | 1.7 | 0.9 | 0.25 | 0.10 | 0.71 | 0.63 | 6.3
JulyanStone | 23 | 7.6 | 0.3 | 0.6 | 0.462 | 0.3 | 0.6 | 0.462 | 0.0 | 0.1 | 0.5 | 1.3 | 1.1 | 0.17 | 0.09 | 0.30 | 0.91 | 0.8
BobbyPortis | 73 | 22.5 | 5.2 | 11.1 | 0.47200000000000003 | 1.1 | 3.1 | 0.359 | 1.6 | 2.1 | 0.769 | 6.8 | 1.7 | 0.66 | 0.32 | 1.41 | 1.78 | 13.2
DavidNwaba | 70 | 23.5 | 2.9 | 6.0 | 0.478 | 0.3 | 0.7 | 0.34600000000000003 | 1.9 | 2.9 | 0.655 | 4.7 | 1.5 | 0.84 | 0.40 | 1.10 | 2.26 | 7.9
PaulZipser | 54 | 15.1 | 1.5 | 4.3 | 0.34600000000000003 | 0.7 | 2.0 | 0.336 | 0.4 | 0.5 | 0.731 | 2.4 | 0.9 | 0.37 | 0.26 | 0.80 | 1.57 | 4.0
AntonioBlakeney | 19 | 16.2 | 2.8 | 7.6 | 0.368 | 0.8 | 2.8 | 0.29600000000000004 | 1.6 | 2.1 | 0.769 | 1.7 | 1.1 | 0.37 | 0.05 | 0.58 | 1 | 8.0
RyanArcidiacono | 24 | 12.7 | 0.7 | 1.7 | 0.415 | 0.4 | 1.3 | 0.29 | 0.2 | 0.2 | 0.833 | 1.0 | 1.5 | 0.54 | 0 | 0.54 | 0.75 | 2.0
WendellCarter | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
ChandlerHutchison | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
KyleLowry | 79 | 31.9 | 5.1 | 12.1 | 0.424 | 3.0 | 7.6 | 0.39399999999999996 | 2.8 | 3.3 | 0.8540000000000001 | 5.6 | 6.9 | 1.11 | 0.23 | 2.33 | 2.44 | 16.1
DeMarDeRozan | 81 | 33.7 | 8.0 | 17.6 | 0.457 | 1.1 | 3.6 | 0.31 | 5.8 | 7.0 | 0.825 | 4.0 | 5.2 | 1.09 | 0.27 | 2.20 | 1.88 | 23.0
SergeIbaka | 76 | 27.4 | 5.0 | 10.3 | 0.483 | 1.4 | 3.9 | 0.36 | 1.2 | 1.6 | 0.797 | 6.3 | 0.8 | 0.38 | 1.30 | 1.18 | 2.75 | 12.6
JonasValanciunas | 77 | 22.3 | 5.1 | 8.9 | 0.568 | 0.4 | 1.0 | 0.405 | 2.2 | 2.7 | 0.8059999999999999 | 8.6 | 1.1 | 0.38 | 0.90 | 1.49 | 2.49 | 12.7
CJCJMiles | 70 | 19.0 | 3.2 | 8.5 | 0.38 | 2.3 | 6.5 | 0.361 | 1.2 | 1.4 | 0.835 | 2.2 | 0.8 | 0.53 | 0.30 | 0.57 | 1.91 | 10.0
LucasNogueira | 49 | 8.4 | 1 | 1.6 | 0.613 | 0.1 | 0.4 | 0.25 | 0.4 | 0.6 | 0.679 | 1.8 | 0.4 | 0.47 | 0.88 | 0.33 | 1 | 2.5
JakobPoeltl | 82 | 18.5 | 3.1 | 4.7 | 0.659 | 0.0 | 0.0 | 0.5 | 0.7 | 1.2 | 0.594 | 4.8 | 0.7 | 0.49 | 1.24 | 1.04 | 2.59 | 6.9
DelonWright | 69 | 20.7 | 2.9 | 6.3 | 0.465 | 0.8 | 2.2 | 0.364 | 1.4 | 1.7 | 0.8320000000000001 | 2.9 | 2.9 | 1.04 | 0.48 | 1.13 | 1.17 | 8.1
OGOGAnunoby | 74 | 19.9 | 2.2 | 4.7 | 0.47100000000000003 | 1.0 | 2.7 | 0.371 | 0.5 | 0.8 | 0.629 | 2.5 | 0.7 | 0.70 | 0.19 | 0.61 | 1.76 | 5.9
MalachiRichardson | 26 | 12.1 | 1.2 | 3.5 | 0.33299999999999996 | 0.5 | 1.5 | 0.3 | 0.7 | 0.8 | 0.773 | 1.3 | 0.5 | 0.38 | 0.04 | 0.38 | 1.04 | 3.4
NormanPowell | 70 | 15.1 | 2.1 | 5.3 | 0.401 | 0.8 | 2.7 | 0.285 | 0.5 | 0.6 | 0.821 | 1.7 | 1.3 | 0.51 | 0.23 | 0.94 | 1.59 | 5.5
FredVanVleet | 76 | 19.9 | 3.1 | 7.2 | 0.426 | 1.4 | 3.4 | 0.414 | 1.1 | 1.3 | 0.8320000000000001 | 2.4 | 3.2 | 0.89 | 0.25 | 0.97 | 1.71 | 8.6
PascalSiakam | 81 | 20.6 | 3.1 | 6.1 | 0.508 | 0.4 | 1.6 | 0.22 | 0.6 | 1.0 | 0.612 | 4.5 | 2.0 | 0.75 | 0.52 | 0.84 | 2.05 | 7.2
AlfonzoMcKinnie | 14 | 3.6 | 0.6 | 1.1 | 0.5329999999999999 | 0.2 | 0.6 | 0.33299999999999996 | 0.1 | 0.2 | 0.667 | 0.5 | 0.1 | 0.07 | 0.07 | 0.21 | 0.57 | 1.5
MalcolmMiller | 15 | 8.5 | 0.9 | 1.9 | 0.46399999999999997 | 0.5 | 1.4 | 0.381 | 0.3 | 0.3 | 1.0 | 1.1 | 0.2 | 0.07 | 0.13 | 0.33 | 0.67 | 2.5
LaMarcusAldridge | 76 | 33.0 | 9.0 | 17.7 | 0.51 | 0.4 | 1.2 | 0.293 | 4.4 | 5.2 | 0.8370000000000001 | 8.3 | 2.0 | 0.57 | 1.18 | 1.47 | 2.12 | 22.8
KawhiLeonard | 9 | 23.4 | 5.8 | 12.3 | 0.46799999999999997 | 1.2 | 3.9 | 0.314 | 3.4 | 4.2 | 0.816 | 4.7 | 2.3 | 2.00 | 1 | 1.78 | 1 | 16.2
PauGasol | 77 | 23.4 | 3.7 | 8.1 | 0.45799999999999996 | 0.6 | 1.6 | 0.358 | 2.1 | 2.7 | 0.7559999999999999 | 8.0 | 3.1 | 0.31 | 1.03 | 1.40 | 1.57 | 10.1
PattyMills | 82 | 25.6 | 3.4 | 8.3 | 0.41 | 1.9 | 5.0 | 0.37200000000000005 | 1.3 | 1.4 | 0.89 | 1.9 | 2.8 | 0.67 | 0.13 | 1.28 | 1.56 | 10.0
DannyGreen | 70 | 25.4 | 3.1 | 8.0 | 0.387 | 1.7 | 4.6 | 0.36200000000000004 | 0.7 | 0.9 | 0.769 | 3.6 | 1.6 | 0.90 | 1.14 | 1.06 | 1.74 | 8.6
ManuGinobili | 65 | 19.8 | 3.1 | 7.1 | 0.434 | 1.0 | 3.0 | 0.33299999999999996 | 1.7 | 2.0 | 0.84 | 2.2 | 2.5 | 0.66 | 0.25 | 1.62 | 1.94 | 8.9
DerrickWhite | 17 | 8.1 | 0.9 | 1.9 | 0.485 | 0.5 | 0.8 | 0.615 | 0.8 | 1.2 | 0.7 | 1.5 | 0.5 | 0.24 | 0.18 | 0.35 | 0.47 | 3.2
BrynForbes | 80 | 18.9 | 2.6 | 6.2 | 0.42100000000000004 | 1.1 | 2.9 | 0.39 | 0.6 | 0.9 | 0.667 | 1.4 | 1 | 0.34 | 0.03 | 0.46 | 1.35 | 6.9
DejounteMurray | 81 | 21.4 | 3.3 | 7.5 | 0.445 | 0.1 | 0.4 | 0.265 | 1.3 | 1.8 | 0.7090000000000001 | 5.7 | 2.9 | 1.20 | 0.38 | 1.67 | 1.86 | 8.1
DavisBertans | 77 | 14.0 | 2.1 | 4.8 | 0.44 | 1.2 | 3.3 | 0.373 | 0.5 | 0.6 | 0.816 | 2.0 | 1.0 | 0.35 | 0.38 | 0.47 | 1.21 | 5.9
MarcoBelinelli | 80 | 24.2 | 4.2 | 9.5 | 0.442 | 1.9 | 4.9 | 0.377 | 1.9 | 2.0 | 0.9079999999999999 | 1.9 | 1.9 | 0.80 | 0.14 | 1.18 | 1.14 | 12.1
BrandonPaul | 64 | 8.8 | 0.8 | 2.0 | 0.429 | 0.2 | 0.8 | 0.278 | 0.3 | 0.7 | 0.512 | 1.1 | 0.6 | 0.39 | 0.11 | 0.48 | 0.91 | 2.3
DarrunHilliard | 14 | 6.8 | 0.4 | 1.4 | 0.263 | 0 | 0.4 | 0.0 | 0.4 | 0.5 | 0.857 | 0.5 | 0.8 | 0.14 | 0 | 0.29 | 0.50 | 1.1
MattCostello | 4 | 8.0 | 0.5 | 1 | 0.5 | 0 | 0 | 0.0 | 0 | 0 | 0.0 | 2.2 | 0.5 | 0.50 | 0.50 | 0.25 | 1.75 | 1
ChimezieMetu | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
RudyGay | 57 | 21.5 | 4.4 | 9.4 | 0.47100000000000003 | 0.6 | 2.1 | 0.314 | 2.0 | 2.5 | 0.772 | 5.1 | 1.3 | 0.81 | 0.67 | 1.37 | 1.72 | 11.5
LonnieWalker | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
GiannisAntetokounmpo | 76 | 36.6 | 9.8 | 18.6 | 0.528 | 0.6 | 1.9 | 0.303 | 6.5 | 8.5 | 0.759 | 10.0 | 4.8 | 1.42 | 1.39 | 2.93 | 3.07 | 26.7
EricBledsoe | 74 | 31.3 | 6.3 | 13.4 | 0.47200000000000003 | 1.7 | 4.9 | 0.34700000000000003 | 3.4 | 4.3 | 0.795 | 3.9 | 5.0 | 2.00 | 0.55 | 2.91 | 2.50 | 17.7
KhrisMiddleton | 82 | 36.3 | 7.2 | 15.5 | 0.467 | 1.8 | 5.0 | 0.36 | 3.9 | 4.4 | 0.884 | 5.2 | 4.0 | 1.44 | 0.26 | 2.33 | 3.29 | 20.1
JohnHenson | 76 | 25.8 | 3.8 | 6.6 | 0.573 | 0.0 | 0.1 | 0.14300000000000002 | 1.2 | 2.1 | 0.57 | 6.8 | 1.5 | 0.59 | 1.45 | 1.12 | 2.66 | 8.8
TonySnell | 75 | 27.2 | 2.5 | 5.7 | 0.435 | 1.4 | 3.6 | 0.40299999999999997 | 0.5 | 0.6 | 0.792 | 1.9 | 1.3 | 0.63 | 0.37 | 0.49 | 1.53 | 6.9
MatthewDellavedova | 38 | 18.6 | 1.4 | 4.0 | 0.36200000000000004 | 0.8 | 2.1 | 0.37200000000000005 | 0.7 | 0.7 | 0.9259999999999999 | 1.7 | 3.8 | 0.34 | 0.03 | 1.29 | 1.76 | 4.3
JabariParker | 31 | 23.9 | 5.2 | 10.7 | 0.48200000000000004 | 1 | 2.6 | 0.38299999999999995 | 1.3 | 1.7 | 0.741 | 4.8 | 1.9 | 0.81 | 0.32 | 1.45 | 1.61 | 12.6
ThonMaker | 74 | 16.6 | 1.8 | 4.3 | 0.41100000000000003 | 0.4 | 1.4 | 0.298 | 0.9 | 1.3 | 0.6990000000000001 | 3.0 | 0.6 | 0.53 | 0.72 | 0.59 | 2.19 | 4.8
DJDJWilson | 22 | 3.2 | 0.4 | 0.7 | 0.562 | 0.1 | 0.2 | 0.4 | 0.0 | 0.1 | 0.5 | 0.5 | 0.1 | 0.14 | 0.05 | 0.18 | 0.32 | 1.0
TylerZeller | 66 | 16.8 | 2.8 | 5.1 | 0.56 | 0.2 | 0.4 | 0.35700000000000004 | 0.9 | 1.2 | 0.722 | 4.6 | 0.7 | 0.23 | 0.53 | 0.71 | 1.91 | 6.7
SterlingBrown | 54 | 14.3 | 1.5 | 3.8 | 0.4 | 0.6 | 1.7 | 0.35200000000000004 | 0.4 | 0.4 | 0.875 | 2.6 | 0.5 | 0.57 | 0.24 | 0.46 | 1.48 | 4.0
MalcolmBrogdon | 48 | 29.9 | 5.1 | 10.5 | 0.485 | 1.3 | 3.4 | 0.385 | 1.6 | 1.8 | 0.882 | 3.2 | 3.2 | 0.85 | 0.27 | 1.38 | 2.67 | 13.0
BrandonJennings | 14 | 14.8 | 1.9 | 5.1 | 0.375 | 0.6 | 2.4 | 0.273 | 0.7 | 0.7 | 1.0 | 2.2 | 3.1 | 0.43 | 0.29 | 1.29 | 0.79 | 5.2
MarshallPlumlee | 8 | 6.5 | 0.1 | 0.4 | 0.33299999999999996 | 0 | 0 | 0.0 | 1.5 | 2.0 | 0.75 | 2.1 | 0.2 | 0 | 0.12 | 0.38 | 1.25 | 1.8
XavierMunford | 4 | 3.2 | 0 | 0.5 | 0.0 | 0 | 0.5 | 0.0 | 0 | 0 | 0.0 | 0 | 1 | 0 | 0 | 0 | 0.75 | 0
ErsanIlyasova | 69 | 25.0 | 4.0 | 8.9 | 0.452 | 1.3 | 3.7 | 0.36 | 1.5 | 2.0 | 0.778 | 5.9 | 1.3 | 0.88 | 0.39 | 1.04 | 2.28 | 10.9
DonteDiVincenzo | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
BrookLopez | 74 | 23.3 | 5.0 | 10.7 | 0.465 | 1.5 | 4.4 | 0.345 | 1.5 | 2.1 | 0.703 | 4.0 | 1.7 | 0.39 | 1.32 | 1.32 | 2.64 | 13.0
GordonHayward | 1 | 5.0 | 1 | 2.0 | 0.5 | 0 | 1 | 0.0 | 0 | 0 | 0.0 | 1 | 0 | 0 | 0 | 0 | 1 | 2.0
AlHorford | 73 | 31.3 | 5.1 | 10.4 | 0.489 | 1.3 | 3.1 | 0.425 | 1.3 | 1.7 | 0.787 | 7.3 | 4.7 | 0.60 | 1.08 | 1.79 | 1.89 | 12.8
KyrieIrving | 61 | 32.0 | 8.9 | 18.1 | 0.49 | 2.7 | 6.8 | 0.405 | 3.8 | 4.3 | 0.889 | 3.8 | 5.2 | 1.08 | 0.28 | 2.31 | 2.03 | 24.2
JaysonTatum | 81 | 30.3 | 5.0 | 10.5 | 0.47600000000000003 | 1.3 | 3.0 | 0.429 | 2.6 | 3.2 | 0.826 | 5.0 | 1.6 | 1.05 | 0.73 | 1.43 | 2.11 | 13.9
MarcusMorris | 54 | 26.7 | 4.9 | 11.3 | 0.429 | 1.6 | 4.3 | 0.368 | 2.3 | 2.9 | 0.805 | 5.4 | 1.3 | 0.65 | 0.22 | 1.20 | 1.85 | 13.6
JaylenBrown | 71 | 30.5 | 5.5 | 11.6 | 0.47100000000000003 | 1.7 | 4.4 | 0.395 | 2.2 | 3.3 | 0.65 | 5.0 | 1.6 | 1 | 0.37 | 1.75 | 2.55 | 14.8
MarcusSmart | 54 | 29.8 | 3.5 | 9.5 | 0.36700000000000005 | 1.4 | 4.6 | 0.301 | 1.8 | 2.5 | 0.7290000000000001 | 3.5 | 4.8 | 1.31 | 0.43 | 2.39 | 2.46 | 10.2
GuerschonYabusele | 33 | 7.1 | 0.8 | 1.8 | 0.426 | 0.4 | 1.1 | 0.324 | 0.5 | 0.7 | 0.682 | 1.6 | 0.5 | 0.12 | 0.15 | 0.36 | 0.70 | 2.4
TerryRozier | 80 | 25.7 | 4.0 | 10.0 | 0.395 | 1.9 | 5.0 | 0.381 | 1.4 | 1.9 | 0.772 | 4.7 | 2.9 | 0.99 | 0.25 | 1 | 1.54 | 11.2
SemiOjeleye | 73 | 15.6 | 0.9 | 2.6 | 0.348 | 0.5 | 1.7 | 0.32 | 0.3 | 0.6 | 0.61 | 2.2 | 0.3 | 0.29 | 0.05 | 0.34 | 1.25 | 2.7
AbdelNader | 48 | 10.8 | 1.0 | 3.1 | 0.336 | 0.5 | 1.4 | 0.354 | 0.5 | 0.8 | 0.59 | 1.5 | 0.5 | 0.31 | 0.21 | 0.71 | 0.94 | 3.0
DanielTheis | 63 | 14.7 | 2.0 | 3.7 | 0.541 | 0.3 | 0.9 | 0.31 | 1.0 | 1.3 | 0.753 | 4.3 | 0.9 | 0.48 | 0.75 | 0.89 | 2.49 | 5.3
KadeemAllen | 18 | 5.9 | 0.3 | 1.2 | 0.273 | 0 | 0.6 | 0.0 | 0.4 | 0.5 | 0.778 | 0.6 | 0.7 | 0.17 | 0.11 | 0.50 | 0.83 | 1.1
JabariBird | 13 | 8.7 | 1.2 | 2.1 | 0.556 | 0.2 | 0.5 | 0.429 | 0.5 | 1 | 0.462 | 1.5 | 0.6 | 0.23 | 0.08 | 0.62 | 0.54 | 3.0
XavierSilas | 2 | 3.5 | 0 | 1.5 | 0.0 | 0 | 1 | 0.0 | 0 | 0 | 0.0 | 1 | 0 | 0.50 | 0 | 0 | 0.50 | 0
