姓名 | 出场 | 时间 | 投篮命中 | 投篮出手 | 投篮命中率 | 三分命中 | 三分出手 | 三分命中率 | 罚球命中 | 罚球出手 | 罚球命中率 | 篮板 | 助攻 | 抢断 | 盖帽 | 失误 | 犯规 | 得分
DarrenCollison | 69 | 29.2 | 4.6 | 9.2 | 0.495 | 1.4 | 3.0 | 0.46799999999999997 | 1.8 | 2.1 | 0.888 | 2.6 | 5.3 | 1.35 | 0.22 | 1.25 | 1.77 | 12.4
MylesTurner | 65 | 28.2 | 4.7 | 9.8 | 0.479 | 0.9 | 2.4 | 0.35700000000000004 | 2.5 | 3.2 | 0.777 | 6.4 | 1.3 | 0.57 | 1.85 | 1.48 | 2.86 | 12.7
DomantasSabonis | 75 | 24.3 | 4.6 | 8.9 | 0.519 | 0.2 | 0.5 | 0.368 | 2.2 | 3.0 | 0.747 | 7.8 | 2.1 | 0.53 | 0.43 | 1.83 | 2.93 | 11.7
TJTJLeaf | 53 | 8.5 | 1.2 | 2.6 | 0.47100000000000003 | 0.3 | 0.8 | 0.429 | 0.2 | 0.3 | 0.625 | 1.5 | 0.2 | 0.09 | 0.08 | 0.19 | 0.85 | 2.9
JoeYoung | 53 | 10.4 | 1.5 | 3.5 | 0.43 | 0.5 | 1.2 | 0.379 | 0.4 | 0.5 | 0.759 | 1.2 | 0.7 | 0.26 | 0.02 | 0.49 | 0.74 | 3.9
IkeAnigbogu | 11 | 2.5 | 0.4 | 0.8 | 0.444 | 0 | 0 | 0.0 | 0.5 | 0.5 | 0.833 | 0.8 | 0 | 0.09 | 0.27 | 0.18 | 0.09 | 1.2
BenMoore | 2 | 4.5 | 0 | 0 | 0.0 | 0 | 0 | 0.0 | 0 | 0 | 0.0 | 0.5 | 0.5 | 0 | 0 | 0 | 2.00 | 0
EdmondSumner | 1 | 2.0 | 1 | 1 | 1.0 | 0 | 0 | 0.0 | 0 | 0 | 0.0 | 1 | 0 | 0 | 0 | 0 | 1 | 2.0
TyrekeEvans | 52 | 30.9 | 7.0 | 15.6 | 0.452 | 2.2 | 5.5 | 0.39899999999999997 | 3.2 | 4.0 | 0.785 | 5.1 | 5.2 | 1.10 | 0.33 | 2.25 | 1.85 | 19.4
DougMcDermott | 81 | 21.7 | 2.9 | 6.3 | 0.467 | 1.1 | 2.7 | 0.426 | 0.8 | 1 | 0.79 | 2.5 | 1.0 | 0.23 | 0.19 | 0.68 | 1.51 | 7.8
KyleOQuinn | 77 | 17.9 | 2.9 | 5.0 | 0.583 | 0.1 | 0.2 | 0.235 | 1.3 | 1.6 | 0.772 | 6.1 | 2.1 | 0.45 | 1.27 | 1.30 | 2.49 | 7.1
AlizeJohnson | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
AaronHoliday | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
StephenCurry | 52 | 31.7 | 8.3 | 16.9 | 0.49200000000000005 | 4.1 | 9.8 | 0.42 | 5.3 | 5.8 | 0.9209999999999999 | 5.1 | 6.0 | 1.58 | 0.15 | 3.06 | 2.19 | 26.1
KlayThompson | 74 | 34.0 | 7.8 | 16.1 | 0.48700000000000004 | 3.2 | 7.2 | 0.442 | 1.1 | 1.3 | 0.8370000000000001 | 3.8 | 2.5 | 0.76 | 0.46 | 1.73 | 1.58 | 19.9
DraymondGreen | 71 | 32.3 | 4.0 | 8.7 | 0.456 | 1.1 | 3.6 | 0.301 | 1.9 | 2.5 | 0.774 | 7.6 | 7.2 | 1.37 | 1.32 | 2.83 | 2.61 | 11.0
AndreIguodala | 64 | 25.3 | 2.3 | 5.0 | 0.462 | 0.5 | 1.8 | 0.282 | 0.9 | 1.4 | 0.632 | 3.8 | 3.3 | 0.84 | 0.59 | 1.05 | 1.55 | 6.0
ShaunLivingston | 71 | 15.9 | 2.4 | 4.8 | 0.503 | 0 | 0.1 | 0.0 | 0.7 | 0.9 | 0.82 | 1.8 | 2.0 | 0.48 | 0.28 | 0.82 | 1.65 | 5.5
DamianJones | 15 | 5.9 | 0.7 | 1.5 | 0.5 | 0 | 0 | 0.0 | 0.2 | 0.3 | 0.6 | 0.9 | 0.1 | 0.07 | 0.20 | 0.27 | 0.93 | 1.7
PatrickMcCaw | 57 | 16.8 | 1.6 | 4.0 | 0.40700000000000003 | 0.3 | 1.4 | 0.23800000000000002 | 0.5 | 0.6 | 0.765 | 1.5 | 1.4 | 0.75 | 0.19 | 0.72 | 1.18 | 4.0
JordanBell | 57 | 14.0 | 2.0 | 3.2 | 0.627 | 0 | 0.1 | 0.0 | 0.5 | 0.8 | 0.682 | 3.6 | 1.8 | 0.63 | 1 | 0.89 | 1.61 | 4.6
QuinnCook | 33 | 22.4 | 3.7 | 7.6 | 0.484 | 1.4 | 3.2 | 0.442 | 0.7 | 0.8 | 0.88 | 2.5 | 2.7 | 0.36 | 0.03 | 0.97 | 1.79 | 9.5
ChrisBoucher | 1 | 1 | 0 | 1 | 0.0 | 0 | 1 | 0.0 | 0 | 0 | 0.0 | 1 | 0 | 0 | 0 | 0 | 0 | 0
KevonLooney | 66 | 13.7 | 1.7 | 2.9 | 0.583 | 0.0 | 0.1 | 0.2 | 0.6 | 1.2 | 0.545 | 3.3 | 0.6 | 0.52 | 0.83 | 0.47 | 1.61 | 4.0
DamionLee | 15 | 26.9 | 4.1 | 10.1 | 0.408 | 1 | 4.0 | 0.25 | 1.5 | 1.9 | 0.759 | 4.7 | 1.9 | 1.27 | 0.07 | 0.93 | 1.67 | 10.7
DeMarcusCousins | 48 | 35.9 | 8.5 | 18.0 | 0.47 | 2.2 | 6.1 | 0.354 | 6.1 | 8.2 | 0.746 | 12.9 | 5.3 | 1.67 | 1.58 | 5.02 | 3.81 | 25.2
JacobEvans | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
KevinDurant | 69 | 34.1 | 9.2 | 17.9 | 0.516 | 2.6 | 6.1 | 0.418 | 5.2 | 5.9 | 0.889 | 6.8 | 5.4 | 0.75 | 1.72 | 3.04 | 1.97 | 26.2
KevinLove | 59 | 27.9 | 5.7 | 12.4 | 0.45799999999999996 | 2.3 | 5.6 | 0.415 | 4.0 | 4.5 | 0.88 | 9.2 | 1.7 | 0.73 | 0.41 | 1.53 | 2.03 | 17.6
GeorgeHill | 67 | 27.0 | 3.5 | 7.6 | 0.461 | 1.3 | 3.0 | 0.41700000000000004 | 1.6 | 2.1 | 0.7859999999999999 | 2.7 | 2.8 | 0.93 | 0.39 | 1.33 | 1.91 | 10.0
TristanThompson | 53 | 20.0 | 2.5 | 4.5 | 0.557 | 0 | 0 | 0.0 | 0.8 | 1.5 | 0.544 | 6.6 | 0.6 | 0.30 | 0.34 | 0.68 | 1.92 | 5.8
JRJRSmith | 80 | 28.0 | 3.0 | 7.4 | 0.40399999999999997 | 1.8 | 4.8 | 0.375 | 0.5 | 0.7 | 0.696 | 2.9 | 1.8 | 0.85 | 0.12 | 1.01 | 2.01 | 8.3
JordanClarkson | 81 | 23.2 | 5.3 | 11.8 | 0.451 | 1.4 | 3.9 | 0.35200000000000004 | 1.9 | 2.3 | 0.8 | 2.7 | 2.7 | 0.72 | 0.07 | 1.57 | 1.32 | 13.9
KyleKorver | 73 | 21.4 | 3.0 | 6.6 | 0.45899999999999996 | 2.2 | 5.2 | 0.436 | 0.9 | 1.0 | 0.889 | 2.2 | 1.2 | 0.42 | 0.37 | 0.75 | 1.78 | 9.2
CediOsman | 61 | 10.9 | 1.5 | 3.0 | 0.484 | 0.5 | 1.4 | 0.368 | 0.4 | 0.8 | 0.565 | 2.0 | 0.7 | 0.36 | 0.05 | 0.52 | 1.28 | 3.9
RodneyHood | 60 | 26.8 | 5.4 | 12.5 | 0.429 | 2.1 | 5.5 | 0.381 | 1.9 | 2.1 | 0.86 | 2.8 | 1.6 | 0.75 | 0.20 | 1.18 | 1.75 | 14.7
AnteZizic | 32 | 6.6 | 1.5 | 2.1 | 0.731 | 0 | 0 | 0.0 | 0.7 | 0.9 | 0.7240000000000001 | 1.9 | 0.2 | 0.06 | 0.38 | 0.34 | 0.94 | 3.7
LarryNanceJr | 66 | 21.5 | 3.6 | 6.3 | 0.58 | 0.0 | 0.2 | 0.16699999999999998 | 1.4 | 2.1 | 0.664 | 6.8 | 1.2 | 1.35 | 0.59 | 0.77 | 2.61 | 8.7
JohnHolland | 24 | 7.3 | 0.7 | 2.5 | 0.28800000000000003 | 0.5 | 1.5 | 0.306 | 0.4 | 0.5 | 0.6920000000000001 | 1 | 0.2 | 0.29 | 0.08 | 0.33 | 0.42 | 2.2
BillyPreston | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
KendrickPerkins | 1 | 15.0 | 1 | 2.0 | 0.5 | 0 | 0 | 0.0 | 1 | 2.0 | 0.5 | 1 | 2.0 | 1 | 0 | 1 | 1 | 3.0
OkaroWhite | 6 | 12.7 | 1.2 | 2.7 | 0.43799999999999994 | 0.7 | 1.8 | 0.364 | 0.3 | 0.5 | 0.667 | 1.8 | 0.3 | 0.17 | 0.17 | 0.17 | 1 | 3.3
CollinSexton | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
NicolasBatum | 64 | 30.9 | 4.2 | 10.2 | 0.415 | 1.4 | 4.3 | 0.336 | 1.7 | 2.0 | 0.831 | 4.8 | 5.5 | 1.02 | 0.36 | 2.05 | 1.12 | 11.6
BismackBiyombo | 82 | 18.1 | 2.2 | 4.3 | 0.521 | 0 | 0.0 | 0.0 | 1.2 | 1.9 | 0.65 | 5.7 | 0.8 | 0.26 | 1.16 | 1.02 | 1.93 | 5.7
MarvinWilliams | 78 | 25.6 | 3.3 | 7.2 | 0.45799999999999996 | 1.6 | 3.9 | 0.41200000000000003 | 1.3 | 1.6 | 0.8290000000000001 | 4.7 | 1.2 | 0.72 | 0.50 | 0.85 | 1.49 | 9.5
MichaelKiddGilchrist | 74 | 24.9 | 3.8 | 7.6 | 0.504 | 0 | 0.0 | 0.0 | 1.6 | 2.3 | 0.684 | 4.1 | 1.0 | 0.69 | 0.42 | 0.72 | 1.93 | 9.2
CodyZeller | 33 | 18.8 | 2.6 | 4.7 | 0.552 | 0.1 | 0.1 | 0.667 | 1.8 | 2.6 | 0.718 | 5.3 | 0.9 | 0.42 | 0.64 | 1 | 2.45 | 7.1
KembaWalker | 81 | 33.9 | 7.3 | 17.0 | 0.43200000000000005 | 2.9 | 7.5 | 0.38299999999999995 | 4.5 | 5.2 | 0.8640000000000001 | 3.1 | 5.5 | 1.14 | 0.30 | 2.21 | 1.21 | 22.0
JeremyLamb | 80 | 24.5 | 4.8 | 10.4 | 0.457 | 1.2 | 3.2 | 0.37200000000000005 | 2.2 | 2.6 | 0.861 | 4.0 | 2.4 | 0.76 | 0.40 | 1.16 | 1.73 | 12.9
MalikMonk | 63 | 13.4 | 2.4 | 6.7 | 0.36 | 1.3 | 3.9 | 0.342 | 0.5 | 0.6 | 0.8420000000000001 | 1.1 | 1.4 | 0.32 | 0.14 | 0.78 | 0.95 | 6.7
FrankKaminsky | 79 | 23.2 | 3.9 | 9.1 | 0.429 | 1.3 | 3.5 | 0.38 | 2.0 | 2.5 | 0.799 | 3.7 | 1.6 | 0.46 | 0.28 | 0.82 | 1.20 | 11.1
WillyHernangomez | 48 | 10.2 | 1.9 | 3.4 | 0.552 | 0.1 | 0.2 | 0.41700000000000004 | 1.2 | 1.9 | 0.6559999999999999 | 3.8 | 0.7 | 0.38 | 0.33 | 0.71 | 1.33 | 5.1
DwayneBacon | 53 | 13.4 | 1.4 | 3.6 | 0.373 | 0.2 | 0.8 | 0.256 | 0.4 | 0.5 | 0.8 | 2.3 | 0.7 | 0.30 | 0.04 | 0.42 | 0.87 | 3.3
MangokMathiang | 4 | 4.8 | 1 | 1.8 | 0.5710000000000001 | 0 | 0 | 0.0 | 0 | 0.2 | 0.0 | 2.5 | 0 | 0.25 | 0 | 0 | 1.25 | 2.0
HamidouDiallo | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
MilesBridges | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
DevonteGraham | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
